Ano,Mes,Maxima_Energia_Armazenada,Energia_Armazenada_Verificada,Porcentagem_Armazenamento_Total,Subsistema,Consumo_Mensal
2010,1,51766.0,35987.870967741925,69.521289456774127,Nordeste,697459.6569444444
2010,1,12415.0,9087.4516129032036,73.200000147741946,Norte,238439.90138888889
2010,1,193066.12903225797,143647.77419354868,74.40225761129021,Sudeste / Centro-Oeste,2316136.9708333332
2010,1,18895.0,18384.451612903249,97.296451937419292,Sul,718193.61944444443
2010,2,51766.0,36138.892857142833,69.811071395714237,Nordeste,614730.31666666665
2010,2,12415.0,11811.142857142861,95.138571602499923,Norte,206907.75
2010,2,193561.0,148223.10714285736,76.576429094285643,Sudeste / Centro-Oeste,2131097.3444444444
2010,2,18895.0,18342.178571428576,97.0735718864286,Sul,670138.661111111
2010,3,51806.225806451628,36547.741935483842,70.54741914774209,Nordeste,745187.7736111111
2010,3,12415.0,12261.677419354823,98.767418645483858,Norte,243570.70277777777
2010,3,193574.1612903222,156571.87096774159,80.883871509677391,Sudeste / Centro-Oeste,2418925.0055555557
2010,3,18895.0,17327.48387096775,91.702257463225735,Sul,766248.7
2010,4,51809.0,39382.100000000086,76.014666493666468,Nordeste,694008.70833333337
2010,4,12415.0,12325.399999999974,99.280333455333334,Norte,241229.45833333334
2010,4,193575.0,160620.53333333306,82.975999451333124,Sudeste / Centro-Oeste,2368736.7916666665
2010,4,18895.0,17179.600000000009,90.920000457666617,Sul,715779.45833333337
2010,5,51809.0,38954.87096774191,75.189355173870808,Nordeste,725267.00138888892
2010,5,12415.0,12318.516129032274,99.225161399032245,Norte,251791.98888888888
2010,5,193575.0,155536.58064516145,80.349354897096731,Sudeste / Centro-Oeste,2370270.9361111112
2010,5,18895.0,17260.193548387102,91.346451790645261,Sul,704466.17361111112
2010,6,51809.0,37042.166666666693,71.497333017666662,Nordeste,696037.08333333337
2010,6,12415.0,11814.666666666677,95.167666371,Norte,247400.0
2010,6,193575.0,148359.26666666649,76.641666921999857,Sudeste / Centro-Oeste,2285991.25
2010,6,18895.0,17509.166666666668,92.663999430666649,Sul,672826.95833333337
2010,7,51809.0,34611.838709677431,66.807097158709752,Nordeste,710176.2875
2010,7,12415.0,10420.967741935459,83.939676099999886,Norte,254258.08194444445
2010,7,193575.0,137601.80645161282,71.084516709032229,Sudeste / Centro-Oeste,2318957.0236111111
2010,7,18895.0,16040.161290322576,84.888710021290308,Sul,699358.45
2010,8,51809.0,31067.419354838748,59.965483880645209,Nordeste,707714.1125
2010,8,12415.0,8353.3225806451646,67.286128875161353,Norte,258218.03055555557
2010,8,198822.16129032275,125244.54838709683,63.019355281612825,Sudeste / Centro-Oeste,2417889.175
2010,8,18895.0,16642.354838709674,88.076451455161347,Sul,706578.7375
2010,9,51809.0,26934.699999999986,51.988999811666616,Nordeste,693124.04166666663
2010,9,12415.0,6429.7999999999929,51.791000112333379,Norte,257034.41666666666
2010,9,200105.0,106993.06666666674,53.469333267666663,Sudeste / Centro-Oeste,2388986.0
2010,9,18895.0,13259.400000000003,70.172666421666577,Sul,678501.04166666663
2010,10,51809.0,22358.419354838756,43.155483860967784,Nordeste,743641.3902777778
2010,10,12415.0,5001.7419354838685,40.2890319816129,Norte,270846.09583333333
2010,10,200105.0,92736.1290322581,46.342580979677436,Sudeste / Centro-Oeste,2444136.8319444442
2010,10,18895.0,11118.741935483873,58.844516261935489,Sul,689065.02916666667
2010,11,51809.0,20368.433333333338,39.314666366666721,Nordeste,722585.83333333337
2010,11,12415.0,4093.0000000000082,32.969333330666586,Norte,255127.25
2010,11,200105.0,82873.899999999965,41.415666581333369,Sudeste / Centro-Oeste,2341176.375
2010,11,18895.0,8631.0666666666657,45.677999877666679,Sul,683264.91666666663
2010,12,51809.0,21670.54838709674,41.827419525806441,Nordeste,751063.7375
2010,12,12415.0,4298.8709677419329,34.627096791612928,Norte,262245.18888888886
2010,12,200107.90322580651,83629.129032258148,41.791935213225763,Sudeste / Centro-Oeste,2499953.5805555554
2010,12,18949.193548387106,10710.580645161293,56.479032454516108,Sul,741724.55694444443
2011,1,51809.0,27465.451612903238,53.012903028709651,Nordeste,730720.33194444445
2011,1,12415.0,5992.3870967741941,48.268064560322593,Norte,255263.51527777777
